ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN
FR0013380607,CACC,Lyxor CAC 40 (DR) UCITS ETF Acc,France,PA,EUR,ETF,FR0013380607
FR0000125338,CAP,Capgemini SE,France,PA,EUR,Common Stock,FR0000125338
FR0010828137,CARM,Carmila S.A,France,PA,EUR,Common Stock,FR0010828137
FR0010193052,CATG,SA Catana Group,France,PA,EUR,Common Stock,FR0010193052
US1491231015,CATR,Caterpillar Inc,France,PA,EUR,Common Stock,US1491231015
LU1681046261,CB3,Amundi Index Solutions - Amundi Govt Bond Euromts Broad Investment Grade UCITS ETF-C,France,PA,EUR,ETF,LU1681046261
FR0010717090,CD8,Amundi ETF MSCI EMU High Dividend UCITS ETF,France,PA,EUR,ETF,FR0010717090
FR0000130403,CDI,Christian Dior SE,France,PA,EUR,Common Stock,FR0000130403
FR0013181864,CGG,CGG,France,PA,EUR,Common Stock,FR0013181864
FR0010754127,CI3,Amundi ETF Euro Inflation UCITS ETF DR,France,PA,EUR,ETF,FR0010754127
FR0010755611,CL2,Amundi ETF Leveraged MSCI USA Daily UCITS ETF,France,PA,EUR,ETF,FR0010755611
FR0000120222,CNP,CNP Assurances SA,France,PA,EUR,Common Stock,FR0000120222
IE00B44T3H88,CNY,HSBC MSCI China UCITS ETF,France,PA,EUR,ETF,IE00B44T3H88
FR0010667147,COFA,COFACE SA,France,PA,EUR,Common Stock,FR0010667147
FR0000064578,COV,Covivio,France,PA,EUR,Common Stock,FR0000064578
FR0013018124,COX,Nicox S.A,France,PA,EUR,Common Stock,FR0013018124
FR0000130692,CRI,Chargeurs SA,France,PA,EUR,Common Stock,FR0000130692
FR0000120628,CS,AXA SA,France,PA,EUR,Common Stock,FR0000120628
LU1681042864,CU2,Amundi Index Solutions - Amundi MSCI USA UCITS ETF-C EUR,France,PA,EUR,ETF,LU1681042864
LU1681043599,CW8,Amundi Index Solutions - Amundi MSCI World UCITS ETF C EUR,France,PA,EUR,ETF,LU1681043599
LU0252633754,DAX,MULTI-UNITS LUXEMBOURG - Lyxor DAX (DR) UCITS ETF - Acc,France,PA,EUR,ETF,LU0252633754
FR0000053381,DBG,Derichebourg SA,France,PA,EUR,Common Stock,FR0000053381
FR0010417345,DBV,DBV Technologies S.A,France,PA,EUR,Common Stock,FR0010417345
FR0000077919,DEC,JCDecaux SA,France,PA,EUR,Common Stock,FR0000077919
FR0000125486,DG,VINCI SA,France,PA,EUR,Common Stock,FR0000125486
GB0002374006,DGE,Diageo plc,France,PA,EUR,Common Stock,GB0002374006
FR0012202497,DGM,Diagnostic Medical Systems S.A,France,PA,EUR,Common Stock,FR0012202497
FR0013154002,DIM,Sartorius Stedim Biotech S.A,France,PA,EUR,Common Stock,FR0013154002
FR0007056841,DJE,Lyxor Dow Jones Industrial Average UCITS ETF Dist,France,PA,EUR,ETF,FR0007056841
FR0010869495,DSD,Lyxor Daily ShortDAX x2 UCITS ETF Acc,France,PA,EUR,ETF,FR0010869495
FR0000130650,DSY,Dassault Systèmes SE,France,PA,EUR,Common Stock,FR0000130650
FR0000073793,DVT,Devoteam SA,France,PA,EUR,Common Stock,FR0000073793
FR0010150458,E40,BNP Paribas Easy CAC 40 UCITS ETF,France,PA,EUR,ETF,FR0010150458
LU1437018168,ECRP,Amundi Index Solutions - Amundi Index Euro AGG Corporate SRI UCITS ETF DR,France,PA,EUR,ETF,LU1437018168
FR0010908533,EDEN,Edenred SA,France,PA,EUR,Common Stock,FR0010908533
FR0010242511,EDF,Electricité de France S.A,France,PA,EUR,Common Stock,FR0010242511
FR0011466069,EKI,EKINOPS S.A,France,PA,EUR,Common Stock,FR0011466069
FR0000121667,EL,EssilorLuxottica Société anonyme,France,PA,EUR,Common Stock,FR0000121667
FR0011950732,ELIOR,Elior Group SA,France,PA,EUR,Common Stock,FR0011950732
FR0012435121,ELIS,Elis SA,France,PA,EUR,Common Stock,FR0012435121
IE00B466KX20,EMAE,SPDR MSCI EM Asia UCITS ETF,France,PA,EUR,ETF,IE00B466KX20
LU1861138961,EMSRI,Amundi Index Solutions - Amundi Index MSCI Emerging Markets SRI,France,PA,EUR,ETF,LU1861138961
FR0000120503,EN,Bouygues SA,France,PA,EUR,Common Stock,FR0000120503
FR0010208488,ENGI,ENGIE SA,France,PA,EUR,Common Stock,FR0010208488
NL0006294274,ENX,Euronext N.V,France,PA,EUR,Common Stock,NL0006294274
FR0000121147,EO,Faurecia S.E,France,PA,EUR,Common Stock,FR0000121147
FR0011191766,EOSI,EOS imaging SA,France,PA,EUR,Common Stock,FR0011191766
FR0000131757,ERA,ERAMET S.A,France,PA,EUR,Common Stock,FR0000131757
FR0011471135,ERYP,ERYTECH Pharma S.A,France,PA,EUR,Common Stock,FR0011471135
FR0011550185,ESE,BNP Paribas Easy S&amp;P 500 UCITS ETF EUR C,France,PA,EUR,ETF,FR0011550185
FR0013041530,ESEH,BNP Paribas Easy S&amp;P 500 UCITS ETF EUR H,France,PA,EUR,ETF,FR0013041530
FR0012739431,ETDD,BNP Paribas Easy Euro Stoxx 50 UCITS ETF EUR C,France,PA,EUR,ETF,FR0012739431
FR0010221234,ETL,Eutelsat Communications S.A,France,PA,EUR,Common Stock,FR0010221234
FR0011550672,ETZD,BNP Paribas Easy Stoxx Europe 600 UCITS ETF EUR C/D,France,PA,EUR,ETF,FR0011550672
FR0012789949,EUCAR,Europcar Mobility Group S.A,France,PA,EUR,Common Stock,FR0012789949
IE00B3T9LM79,EUCO,SPDR Bloomberg Barclays Euro Corporate Bond UCITS ETF,France,PA,EUR,ETF,IE00B3T9LM79
IE00B5M1WJ87,EUDV,SPDR S&amp;P Euro Dividend Aristocrats UCITS ETF,France,PA,EUR,ETF,IE00B5M1WJ87
FR0011869353,EWLD,Lyxor PEA Monde (MSCI World) UCITS ETF Capi,France,PA,EUR,ETF,FR0011869353
FR0011271600,FALG,Fermentalg Société Anonyme,France,PA,EUR,Common Stock,FR0011271600
FR0013451333,FDJ,La Française des Jeux Société anonyme,France,PA,EUR,Common Stock,FR0013451333
FR0011665280,FGA,Figeac Aero Société Anonyme,France,PA,EUR,Common Stock,FR0011665280
FR0000130452,FGR,Eiffage SA,France,PA,EUR,Common Stock,FR0000130452
FR0000050353,FII,Lisi S.A,France,PA,EUR,Common Stock,FR0000050353
FR0011476928,FNAC,Fnac Darty SA,France,PA,EUR,Common Stock,FR0011476928
FR0000120271,FP,TotalEnergies SE,France,PA,EUR,Common Stock,FR0000120271
FR0013176526,FR,Valeo SE,France,PA,EUR,Common Stock,FR0013176526
GB00BDSFG982,FTI,TechnipFMC plc,France,PA,EUR,Common Stock,GB00BDSFG982
GB00B00FHZ82,GBS,Gold Bullion Securities ETC,France,PA,EUR,ETF,GB00B00FHZ82
FR0000079634,GECP,GECI International S.A,France,PA,EUR,Common Stock,FR0000079634
FR0010533075,GET,Getlink SE,France,PA,EUR,Common Stock,FR0010533075
FR0010040865,GFC,Gecina SA,France,PA,EUR,Common Stock,FR0010040865
FR0000130809,GLE,Société Générale Société anonyme,France,PA,EUR,Common Stock,FR0000130809
FR0000066672,GLO,GL Events SA,France,PA,EUR,Common Stock,FR0000066672
US3696041033,GNE,General Electric Company,France,PA,EUR,Common Stock,US3696041033
FR0004163111,GNFT,Genfit SA,France,PA,EUR,Common Stock,FR0004163111
FR0011726835,GTT,Gaztransport & Technigaz SA,France,PA,EUR,Common Stock,FR0011726835
FR0011799907,GV,Genomic Vision Société Anonyme,France,PA,EUR,Common Stock,FR0011799907
LU0533033238,HLTW,Lyxor MSCI World Health Care TR UCITS ETF - C-EUR,France,PA,EUR,ETF,LU0533033238
FR0000121329,HO,Thales S.A,France,PA,EUR,Common Stock,FR0000121329
CH0012214059,HOLN,Holcim Ltd,France,PA,EUR,Common Stock,CH0012214059
FR0000035081,ICAD,Icade SA,France,PA,EUR,Common Stock,FR0000035081
FR0004035913,ILD,iliad S.A,France,PA,EUR,Common Stock,FR0004035913
IE00B3YLTY66,IMIE,SPDR MSCI ACWI IMI UCITS ETF,France,PA,EUR,ETF,IE00B3YLTY66
FR0010331421,IPH,Innate Pharma S.A,France,PA,EUR,Common Stock,FR0010331421
FR0010259150,IPN,Ipsen S.A,France,PA,EUR,Common Stock,FR0010259150
FR0000073298,IPS,Ipsos SA,France,PA,EUR,Common Stock,FR0000073298
FR0004024222,ITP,Interparfums SA,France,PA,EUR,Common Stock,FR0004024222
FR0013233012,IVA,Inventiva S.A,France,PA,EUR,Common Stock,FR0013233012
LU1481202692,JBEM,BNP Paribas Easy Bloomberg-Barclays Euro Aggregate Treasury UCITS ETF Capitalisation,France,PA,EUR,ETF,LU1481202692
FR0000121485,KER,Kering SA,France,PA,EUR,Common Stock,FR0000121485
FR0000120685,KN,Natixis S.A,France,PA,EUR,Common Stock,FR0000120685
FR0004007813,KOF,Kaufman & Broad S.A,France,PA,EUR,Common Stock,FR0004007813
FR0010386334,KORI,Korian,France,PA,EUR,Common Stock,FR0010386334
FR0000032278,LAT,Latécoère S.A,France,PA,EUR,Common Stock,FR0000032278
FR0000038242,LBIRD,Lumibird SA,France,PA,EUR,Common Stock,FR0000038242
FR0000121964,LI,Klépierre SA,France,PA,EUR,Common Stock,FR0000121964
FR0004170017,LNA,LNA Santé SA,France,PA,EUR,Common Stock,FR0004170017
FR0010342592,LQQ,Lyxor Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,France,PA,EUR,ETF,FR0010342592
FR0010307819,LR,Legrand SA,France,PA,EUR,Common Stock,FR0010307819
FR0010592014,LVC,Lyxor CAC 40 Daily (2x) Leveraged UCITS ETF Acc,France,PA,EUR,ETF,FR0010592014
LU0252634307,LVD,MULTI-UNITS LUXEMBOURG - Lyxor Daily LevDAX UCITS ETF - Acc,France,PA,EUR,ETF,LU0252634307
FR0010468983,LVE,Lyxor Euro Stoxx 50 Daily (2x) Leveraged UCITS ETF Acc,France,PA,EUR,ETF,FR0010468983
FR0013233475,LYS,Lysogene S.A,France,PA,EUR,Common Stock,FR0013233475
FR0000051070,MAU,Etablissements Maurel & Prom S.A,France,PA,EUR,Common Stock,FR0000051070
FR0000121014,MC,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",France,PA,EUR,Common Stock,FR0000121014
FR0011742329,MCPHY,McPhy Energy S.A,France,PA,EUR,Common Stock,FR0011742329
FR0013153541,MDM,Maisons du Monde S.A,France,PA,EUR,Common Stock,FR0013153541
FR0004065605,MEDCL,MedinCell S.A,France,PA,EUR,Common Stock,FR0004065605
FR0010241638,MERY,Mercialys,France,PA,EUR,Common Stock,FR0010241638
LU0908500753,MEUD,Lyxor Core STOXX Europe 600 (DR) - UCITS ETF Acc,France,PA,EUR,ETF,LU0908500753
FR0000121204,MF,Wendel,France,PA,EUR,Common Stock,FR0000121204
LU0908501058,MFED,Lyxor EURO STOXX 300 (DR) - UCITS ETF C-EUR,France,PA,EUR,ETF,LU0908501058
FR0010609263,MKEA,Mauna Kea Technologies SA,France,PA,EUR,Common Stock,FR0010609263
FR0000121261,ML,Compagnie Générale des Établissements Michelin Société en commandite par actions,France,PA,EUR,Common Stock,FR0000121261
FR0000130213,MMB,Lagardère SCA,France,PA,EUR,Common Stock,FR0000130213
FR0000053225,MMT,Métropole Télévision S.A,France,PA,EUR,Common Stock,FR0000053225
DE0006599905,MRK,"Merck & Co., Inc",France,PA,EUR,Common Stock,DE0006599905
FR0000039620,MRN,Mersen SA,France,PA,EUR,Common Stock,FR0000039620
FR0007054358,MSE,Lyxor Euro Stoxx 50 (DR) UCITS ETF Acc,France,PA,EUR,ETF,FR0007054358
LU1287023185,MTD,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF - Acc,France,PA,EUR,ETF,LU1287023185
FR0011341205,NANO,Nanobiotix S.A,France,PA,EUR,Common Stock,FR0011341205
FR0011675362,NEOEN,Neoen S.A,France,PA,EUR,Common Stock,FR0011675362
FR0000044448,NEX,Nexans S.A,France,PA,EUR,Common Stock,FR0000044448
FR0000120859,NK,Imerys S.A,France,PA,EUR,Common Stock,FR0000120859
FI0009000681,NOKIA,Nokia Corporation,France,PA,EUR,Common Stock,FI0009000681
FR0010524777,NRJ,Multi Units France - Lyxor New Energy (DR) UCITS ETF,France,PA,EUR,ETF,FR0010524777
FR0010112524,NXI,Nexity SA,France,PA,EUR,Common Stock,FR0010112524
FR0000120321,OR,L'Oréal S.A,France,PA,EUR,Common Stock,FR0000120321
FR0000133308,ORA,Orange S.A,France,PA,EUR,Common Stock,FR0000133308
FR0000075392,ORAP,Orapi SA,France,PA,EUR,Common Stock,FR0000075392
FR0000184798,ORP,Orpea SA,France,PA,EUR,Common Stock,FR0000184798
FR0012127173,OSE,OSE Immunotherapeutics SA,France,PA,EUR,Common Stock,FR0012127173
FR0013412012,PAASI,Amundi ETF PEA MSCI Emerging Asia UCITS ETF,France,PA,EUR,ETF,FR0013412012
FR0013412020,PAEEM,Amundi ETF PEA MSCI Emerging Markets UCITS ETF,France,PA,EUR,ETF,FR0013412020
FR0013412269,PANX,Amundi ETF PEA Nasdaq-100 UCITS ETF,France,PA,EUR,ETF,FR0013412269
FR0013412038,PCEU,Amundi ETF PEA MSCI Europe UCITS ETF,France,PA,EUR,ETF,FR0013412038
FR0013412285,PE500,Amundi ETF PEA S&amp;P 500 UCITS ETF EUR,France,PA,EUR,ETF,FR0013412285
FR0011770775,PEAP,Lyxor PEA PME (DR) UCITS ETF Dist,France,PA,EUR,ETF,FR0011770775
FR0000064784,PEUG,Peugeot Invest Société anonyme,France,PA,EUR,Common Stock,FR0000064784
FR0012882389,PHA,Pharmagest Interactive SA,France,PA,EUR,Common Stock,FR0012882389
FR0011440478,PLEM,Lyxor PEA Emergents (MSCI Emerging Markets) UCITS ETF Capi,France,PA,EUR,ETF,FR0011440478
FR0000124570,POM,Compagnie Plastic Omnium SA,France,PA,EUR,Common Stock,FR0000124570
FR0012432516,POXEL,Poxel S.A,France,PA,EUR,Common Stock,FR0012432516
FR0011869387,PRUS,Lyxor PEA Russie (MSCI Russia IMI Select GDR) UCITS ETF Capi,France,PA,EUR,ETF,FR0011869387
FR0011871128,PSP5,Lyxor PEA S&amp;P 500 UCITS ETF Capi,France,PA,EUR,ETF,FR0011871128
FR0000130577,PUB,Publicis Groupe S.A,France,PA,EUR,Common Stock,FR0000130577
FR0011871110,PUST,Lyxor PEA Nasdaq-100 UCITS ETF Capi,France,PA,EUR,ETF,FR0011871110
FR0013252186,PVL,Plastiques du Val de Loire,France,PA,EUR,Common Stock,FR0013252186
FR0000120560,QDT,Quadient S.A,France,PA,EUR,Common Stock,FR0000120560
IE0032077012,QQQ,Invesco EQQQ NASDAQ-100 UCITS ETF,France,PA,EUR,ETF,IE0032077012
FR0000060618,RAL,Rallye SA,France,PA,EUR,Common Stock,FR0000060618
FR0000039091,RBT,Robertet SA,France,PA,EUR,Common Stock,FR0000039091
FR0000130395,RCO,Rémy Cointreau SA,France,PA,EUR,Common Stock,FR0000130395
FR0000121121,RF,Eurazeo SE,France,PA,EUR,Common Stock,FR0000121121
FR0000120693,RI,Pernod Ricard SA,France,PA,EUR,Common Stock,FR0000120693
FR0000052292,RMS,Hermès International Société en commandite par actions,France,PA,EUR,Common Stock,FR0000052292
FR0000131906,RNO,Renault SA,France,PA,EUR,Common Stock,FR0000131906
FR0000031684,ROTH,Rothschild & Co SCA,France,PA,EUR,Common Stock,FR0000031684
FR0013269123,RUI,Rubis,France,PA,EUR,Common Stock,FR0013269123
FR0010451203,RXL,Rexel S.A,France,PA,EUR,Common Stock,FR0010451203
FR0013379484,S30,Solutions 30 SE,France,PA,EUR,Common Stock,FR0013379484
FR0000073272,SAF,Safran SA,France,PA,EUR,Common Stock,FR0000073272
FR0000120578,SAN,Sanofi,France,PA,EUR,Common Stock,FR0000120578
FR0000120107,SAVE,Savencia SA,France,PA,EUR,Common Stock,FR0000120107
FR0010411983,SCR,SCOR SE,France,PA,EUR,Common Stock,FR0010411983
FR0011950682,SEFER,SergeFerrari Group SA,France,PA,EUR,Common Stock,FR0011950682
LU1812092168,SEL,Lyxor Index Fund - Lyxor STOXX Europe Select Dividend 30 UCITS ETF Dist,France,PA,EUR,ETF,LU1812092168
LU0088087324,SESG,SES S.A,France,PA,EUR,Common Stock,LU0088087324
IE00BC7GZW19,SEUC,SPDR Bloomberg Barclays 0-3 Year Euro Corporate Bond UCITS ETF,France,PA,EUR,ETF,IE00BC7GZW19
FR0010613471,SEV,Suez SA,France,PA,EUR,Common Stock,FR0010613471
FR0000125007,SGO,Compagnie de Saint-Gobain S.A,France,PA,EUR,Common Stock,FR0000125007
FR0010591362,SHC,Lyxor CAC 40 Daily (-1x) Inverse UCITS ETF Acc,France,PA,EUR,ETF,FR0010591362
FR0013183985,SIGHT,GenSight Biologics S.A,France,PA,EUR,Common Stock,FR0013183985
FR0000121709,SK,SEB SA,France,PA,EUR,Common Stock,FR0000121709
AN8068571086,SLB,Schlumberger Limited,France,PA,EUR,Common Stock,AN8068571086
FR0013214145,SMCP,SMCP S.A,France,PA,EUR,Common Stock,FR0013214145
FR0013227113,SOI,Soitec S.A,France,PA,EUR,Common Stock,FR0013227113
FR0000050809,SOP,Sopra Steria Group SA,France,PA,EUR,Common Stock,FR0000050809
LU0496786574,SP5,Lyxor S&amp;P 500 UCITS ETF - D-EUR,France,PA,EUR,ETF,LU0496786574
FR0012757854,SPIE,SPIE SA,France,PA,EUR,Common Stock,FR0012757854
FR0013006558,SRP,SRP Groupe S.A,France,PA,EUR,Common Stock,FR0013006558
NL0000226223,STM,STMicroelectronics N.V,France,PA,EUR,Common Stock,NL0000226223
IE00BKWQ0G16,STZ,SPDR MSCI Europe Financials UCITS ETF,France,PA,EUR,ETF,IE00BKWQ0G16
FR0000121972,SU,Schneider Electric S.E,France,PA,EUR,Common Stock,FR0000121972
FR0000121220,SW,Sodexo S.A,France,PA,EUR,Common Stock,FR0000121220
FR0004180578,SWP,Sword Group S.E,France,PA,EUR,Common Stock,FR0004180578
FR0013505062,TCH,Technicolor SA,France,PA,EUR,Common Stock,FR0013505062
FR0000051807,TEP,Teleperformance SE,France,PA,EUR,Common Stock,FR0000051807
FR0000054900,TFI,Télévision Française 1 Société anonyme,France,PA,EUR,Common Stock,FR0000054900
FR0004188670,TKTT,Tarkett S.A,France,PA,EUR,Common Stock,FR0004188670
